STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:USW00014853,236.8,42.23333,-83.53333,19500101,0.06,-9999,46,36
GHCND:USW00014853,236.8,42.23333,-83.53333,19500102,0.38,-9999,50,43
GHCND:USW00014853,236.8,42.23333,-83.53333,19500103,0.47,-9999,59,50
GHCND:USW00014853,236.8,42.23333,-83.53333,19500104,0.57,-9999,55,21
GHCND:USW00014853,236.8,42.23333,-83.53333,19500105,0.00,-9999,27,21
GHCND:USW00014853,236.8,42.23333,-83.53333,19500106,0.21,-9999,28,25
GHCND:USW00014853,236.8,42.23333,-83.53333,19500107,0.00,-9999,27,12
GHCND:USW00014853,236.8,42.23333,-83.53333,19500108,0.00,-9999,28,3
GHCND:USW00014853,236.8,42.23333,-83.53333,19500109,0.00,-9999,43,22
GHCND:USW00014853,236.8,42.23333,-83.53333,19500110,0.40,-9999,58,28
GHCND:USW00014853,236.8,42.23333,-83.53333,19500111,0.00,-9999,29,19
GHCND:USW00014853,236.8,42.23333,-83.53333,19500112,0.00,-9999,39,23
GHCND:USW00014853,236.8,42.23333,-83.53333,19500113,0.53,-9999,61,36
GHCND:USW00014853,236.8,42.23333,-83.53333,19500114,0.00,-9999,55,22
GHCND:USW00014853,236.8,42.23333,-83.53333,19500115,0.34,-9999,46,20
GHCND:USW00014853,236.8,42.23333,-83.53333,19500116,0.00,-9999,28,16
GHCND:USW00014853,236.8,42.23333,-83.53333,19500117,0.00,-9999,40,17
GHCND:USW00014853,236.8,42.23333,-83.53333,19500118,0.01,-9999,41,7
GHCND:USW00014853,236.8,42.23333,-83.53333,19500119,0.00,-9999,24,4
GHCND:USW00014853,236.8,42.23333,-83.53333,19500120,0.09,-9999,24,8
GHCND:USW00014853,236.8,42.23333,-83.53333,19500121,0.00,-9999,37,17
GHCND:USW00014853,236.8,42.23333,-83.53333,19500122,0.00,-9999,39,34
GHCND:USW00014853,236.8,42.23333,-83.53333,19500123,0.00,-9999,37,31
GHCND:USW00014853,236.8,42.23333,-83.53333,19500124,0.48,-9999,60,31
GHCND:USW00014853,236.8,42.23333,-83.53333,19500125,0.25,-9999,69,56
GHCND:USW00014853,236.8,42.23333,-83.53333,19500126,0.27,-9999,58,17
GHCND:USW00014853,236.8,42.23333,-83.53333,19500127,0.00,-9999,29,11
GHCND:USW00014853,236.8,42.23333,-83.53333,19500128,0.00,-9999,40,19
GHCND:USW00014853,236.8,42.23333,-83.53333,19500129,0.00,-9999,45,20
GHCND:USW00014853,236.8,42.23333,-83.53333,19500130,0.05,-9999,21,12
GHCND:USW00014853,236.8,42.23333,-83.53333,19500131,0.06,-9999,27,16
GHCND:USW00014853,236.8,42.23333,-83.53333,19500201,0.00,-9999,33,16
GHCND:USW00014853,236.8,42.23333,-83.53333,19500202,0.00,-9999,33,16
GHCND:USW00014853,236.8,42.23333,-83.53333,19500203,0.00,-9999,33,11
GHCND:USW00014853,236.8,42.23333,-83.53333,19500204,0.00,-9999,38,18
