Year,Trimester,Classification
1970,DJF,El Nino
1970,JFM,Regular
1970,FMA,Regular
1970,MAM,Regular
1970,AMJ,Regular
1970,MJJ,Regular
1970,JJA,La Nina
1970,JAS,La Nina
1970,ASO,La Nina
1970,SON,La Nina
1970,OND,La Nina
1970,NDJ,La Nina
1971,DJF,La Nina
1971,JFM,La Nina
1971,FMA,La Nina
1971,MAM,La Nina
1971,AMJ,La Nina
1971,MJJ,La Nina
1971,JJA,La Nina
1971,JAS,La Nina
1971,ASO,La Nina
1971,SON,La Nina
1971,OND,La Nina
1971,NDJ,La Nina
1972,DJF,La Nina
1972,JFM,Regular
1972,FMA,Regular
1972,MAM,Regular
1972,AMJ,El Nino
1972,MJJ,El Nino
1972,JJA,El Nino
1972,JAS,El Nino
1972,ASO,El Nino
1972,SON,El Nino
1972,OND,El Nino
1972,NDJ,El Nino
1973,DJF,El Nino
1973,JFM,El Nino
1973,FMA,El Nino
1973,MAM,Regular
1973,AMJ,Regular
1973,MJJ,La Nina
1973,JJA,La Nina
1973,JAS,La Nina
1973,ASO,La Nina
1973,SON,La Nina
1973,OND,La Nina
1973,NDJ,La Nina
1974,DJF,La Nina
1974,JFM,La Nina
1974,FMA,La Nina
1974,MAM,La Nina
1974,AMJ,La Nina
1974,MJJ,La Nina
1974,JJA,La Nina
1974,JAS,Regular
1974,ASO,Regular
1974,SON,La Nina
1974,OND,La Nina
1974,NDJ,La Nina
1975,DJF,La Nina
1975,JFM,La Nina
1975,FMA,La Nina
1975,MAM,La Nina
1975,AMJ,La Nina
1975,MJJ,La Nina
1975,JJA,La Nina
1975,JAS,La Nina
1975,ASO,La Nina
1975,SON,La Nina
1975,OND,La Nina
1975,NDJ,La Nina
1976,DJF,La Nina
1976,JFM,La Nina
1976,FMA,La Nina
1976,MAM,Regular
1976,AMJ,Regular
1976,MJJ,Regular
1976,JJA,Regular
1976,JAS,Regular
1976,ASO,El Nino
1976,SON,El Nino
1976,OND,El Nino
1976,NDJ,El Nino
1977,DJF,El Nino
1977,JFM,El Nino
1977,FMA,Regular
1977,MAM,Regular
1977,AMJ,Regular
1977,MJJ,Regular
1977,JJA,Regular
1977,JAS,Regular
1977,ASO,El Nino
1977,SON,El Nino
1977,OND,El Nino
1977,NDJ,El Nino
1978,DJF,El Nino
1978,JFM,Regular
1978,FMA,Regular
1978,MAM,Regular
1978,AMJ,Regular
1978,MJJ,Regular
1978,JJA,Regular
1978,JAS,Regular
1978,ASO,Regular
1978,SON,Regular
1978,OND,Regular
1978,NDJ,Regular
1979,DJF,Regular
1979,JFM,Regular
1979,FMA,Regular
1979,MAM,Regular
1979,AMJ,Regular
1979,MJJ,Regular
1979,JJA,Regular
1979,JAS,Regular
1979,ASO,Regular
1979,SON,El Nino
1979,OND,El Nino
1979,NDJ,El Nino
1980,DJF,El Nino
1980,JFM,El Nino
1980,FMA,Regular
1980,MAM,Regular
1980,AMJ,Regular
1980,MJJ,Regular
1980,JJA,Regular
1980,JAS,Regular
1980,ASO,Regular
1980,SON,Regular
1980,OND,Regular
1980,NDJ,Regular
1981,DJF,Regular
1981,JFM,Regular
1981,FMA,Regular
1981,MAM,Regular
1981,AMJ,Regular
1981,MJJ,Regular
1981,JJA,Regular
1981,JAS,Regular
1981,ASO,Regular
1981,SON,Regular
1981,OND,Regular
1981,NDJ,Regular
1982,DJF,Regular
1982,JFM,Regular
1982,FMA,Regular
1982,MAM,El Nino
1982,AMJ,El Nino
1982,MJJ,El Nino
1982,JJA,El Nino
1982,JAS,El Nino
1982,ASO,El Nino
1982,SON,El Nino
1982,OND,El Nino
1982,NDJ,El Nino
1983,DJF,El Nino
1983,JFM,El Nino
1983,FMA,El Nino
1983,MAM,El Nino
1983,AMJ,El Nino
1983,MJJ,El Nino
1983,JJA,Regular
1983,JAS,Regular
1983,ASO,Regular
1983,SON,Regular
1983,OND,Regular
1983,NDJ,Regular
1984,DJF,Regular
1984,JFM,Regular
1984,FMA,Regular
1984,MAM,Regular
1984,AMJ,Regular
1984,MJJ,Regular
1984,JJA,Regular
1984,JAS,Regular
1984,ASO,Regular
1984,SON,La Nina
1984,OND,La Nina
1984,NDJ,La Nina
1985,DJF,La Nina
1985,JFM,La Nina
1985,FMA,La Nina
1985,MAM,La Nina
1985,AMJ,La Nina
1985,MJJ,La Nina
1985,JJA,Regular
1985,JAS,Regular
1985,ASO,Regular
1985,SON,Regular
1985,OND,Regular
1985,NDJ,Regular
1986,DJF,Regular
1986,JFM,Regular
1986,FMA,Regular
1986,MAM,Regular
1986,AMJ,Regular
1986,MJJ,Regular
1986,JJA,Regular
1986,JAS,Regular
1986,ASO,El Nino
1986,SON,El Nino
1986,OND,El Nino
1986,NDJ,El Nino
1987,DJF,El Nino
1987,JFM,El Nino
1987,FMA,El Nino
1987,MAM,El Nino
1987,AMJ,El Nino
1987,MJJ,El Nino
1987,JJA,El Nino
1987,JAS,El Nino
1987,ASO,El Nino
