STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:USW00014853,236.8,42.23333,-83.53333,19990309,0.02,23,26,20
GHCND:USW00014853,236.8,42.23333,-83.53333,19990310,0.00,25,32,17
GHCND:USW00014853,236.8,42.23333,-83.53333,19990311,0.00,24,36,12
GHCND:USW00014853,236.8,42.23333,-83.53333,19990312,0.00,26,37,14
GHCND:USW00014853,236.8,42.23333,-83.53333,19990313,0.00,24,36,11
GHCND:USW00014853,236.8,42.23333,-83.53333,19990314,0.00,30,38,21
GHCND:USW00014853,236.8,42.23333,-83.53333,19990315,0.00,31,42,20
GHCND:USW00014853,236.8,42.23333,-83.53333,19990316,0.00,35,45,25
GHCND:USW00014853,236.8,42.23333,-83.53333,19990317,0.00,45,60,29
GHCND:USW00014853,236.8,42.23333,-83.53333,19990318,0.00,38,45,31
GHCND:USW00014853,236.8,42.23333,-83.53333,19990319,0.00,37,47,26
GHCND:USW00014853,236.8,42.23333,-83.53333,19990320,0.00,36,50,22
GHCND:USW00014853,236.8,42.23333,-83.53333,19990321,0.00,36,42,30
GHCND:USW00014853,236.8,42.23333,-83.53333,19990322,0.00,36,43,29
GHCND:USW00014853,236.8,42.23333,-83.53333,19990323,0.00,35,51,19
GHCND:USW00014853,236.8,42.23333,-83.53333,19990324,0.00,35,46,24
GHCND:USW00014853,236.8,42.23333,-83.53333,19990325,0.00,33,39,26
GHCND:USW00014853,236.8,42.23333,-83.53333,19990326,0.00,33,47,18
GHCND:USW00014853,236.8,42.23333,-83.53333,19990327,0.00,38,54,21
GHCND:USW00014853,236.8,42.23333,-83.53333,19990328,0.00,43,62,23
GHCND:USW00014853,236.8,42.23333,-83.53333,19990329,0.00,48,61,34
GHCND:USW00014853,236.8,42.23333,-83.53333,19990330,0.00,49,69,28
GHCND:USW00014853,236.8,42.23333,-83.53333,19990331,0.00,56,74,38
GHCND:USW00014853,236.8,42.23333,-83.53333,19990401,0.06,57,62,51
GHCND:USW00014853,236.8,42.23333,-83.53333,19990402,0.00,61,71,50
GHCND:USW00014853,236.8,42.23333,-83.53333,19990403,0.05,63,78,48
GHCND:USW00014853,236.8,42.23333,-83.53333,19990404,0.52,49,61,37
GHCND:USW00014853,236.8,42.23333,-83.53333,19990405,0.00,44,55,33
GHCND:USW00014853,236.8,42.23333,-83.53333,19990406,0.02,56,69,42
GHCND:USW00014853,236.8,42.23333,-83.53333,19990407,0.00,52,68,35
GHCND:USW00014853,236.8,42.23333,-83.53333,19990408,0.02,59,72,45
GHCND:USW00014853,236.8,42.23333,-83.53333,19990409,0.81,43,49,36
GHCND:USW00014853,236.8,42.23333,-83.53333,19990410,0.00,42,52,31
