STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:USC00209014,200.9,42.08333,-83.58333,19700316,0.00,-9999,39,11
GHCND:USC00209014,200.9,42.08333,-83.58333,19700317,0.00,-9999,41,13
GHCND:USC00209014,200.9,42.08333,-83.58333,19700318,0.10,-9999,34,29
GHCND:USC00209014,200.9,42.08333,-83.58333,19700319,0.00,-9999,46,28
GHCND:USC00209014,200.9,42.08333,-83.58333,19700320,0.40,-9999,44,33
GHCND:USC00209014,200.9,42.08333,-83.58333,19700321,0.00,-9999,53,33
GHCND:USC00209014,200.9,42.08333,-83.58333,19700322,0.19,-9999,36,32
GHCND:USC00209014,200.9,42.08333,-83.58333,19700323,0.00,-9999,45,32
GHCND:USC00209014,200.9,42.08333,-83.58333,19700324,0.00,-9999,43,30
GHCND:USC00209014,200.9,42.08333,-83.58333,19700325,0.01,-9999,46,21
GHCND:USC00209014,200.9,42.08333,-83.58333,19700326,0.48,-9999,41,30
GHCND:USC00209014,200.9,42.08333,-83.58333,19700327,0.00,-9999,39,25
GHCND:USC00209014,200.9,42.08333,-83.58333,19700328,0.03,-9999,35,22
GHCND:USC00209014,200.9,42.08333,-83.58333,19700329,0.00,-9999,33,20
GHCND:USC00209014,200.9,42.08333,-83.58333,19700330,0.00,-9999,41,19
GHCND:USC00209014,200.9,42.08333,-83.58333,19700331,0.00,-9999,49,19
GHCND:USC00209014,200.9,42.08333,-83.58333,19700401,0.20,-9999,44,31
GHCND:USC00209014,200.9,42.08333,-83.58333,19700402,0.97,-9999,34,31
GHCND:USC00209014,200.9,42.08333,-83.58333,19700403,0.00,-9999,44,27
GHCND:USC00209014,200.9,42.08333,-83.58333,19700404,0.00,-9999,45,30
GHCND:USC00209014,200.9,42.08333,-83.58333,19700405,0.00,-9999,49,22
GHCND:USC00209014,200.9,42.08333,-83.58333,19700406,0.03,-9999,47,33
GHCND:USC00209014,200.9,42.08333,-83.58333,19700407,0.00,-9999,55,35
GHCND:USC00209014,200.9,42.08333,-83.58333,19700408,0.00,-9999,72,38
GHCND:USC00209014,200.9,42.08333,-83.58333,19700409,0.02,-9999,59,40
GHCND:USC00209014,200.9,42.08333,-83.58333,19700410,0.00,-9999,46,26
GHCND:USC00209014,200.9,42.08333,-83.58333,19700411,0.00,-9999,41,21
GHCND:USC00209014,200.9,42.08333,-83.58333,19700412,0.00,-9999,54,30
GHCND:USC00209014,200.9,42.08333,-83.58333,19700413,0.21,-9999,48,36
GHCND:USC00209014,200.9,42.08333,-83.58333,19700414,0.01,-9999,55,39
GHCND:USC00209014,200.9,42.08333,-83.58333,19700415,0.00,-9999,61,34
GHCND:USC00209014,200.9,42.08333,-83.58333,19700416,0.01,-9999,56,33
GHCND:USC00209014,200.9,42.08333,-83.58333,19700417,0.00,-9999,69,32
GHCND:USC00209014,200.9,42.08333,-83.58333,19700418,0.00,-9999,52,33
GHCND:USC00209014,200.9,42.08333,-83.58333,19700419,0.38,-9999,43,37
GHCND:USC00209014,200.9,42.08333,-83.58333,19700420,0.42,-9999,60,38
GHCND:USC00209014,200.9,42.08333,-83.58333,19700421,0.36,-9999,52,40
GHCND:USC00209014,200.9,42.08333,-83.58333,19700422,0.00,-9999,64,36
GHCND:USC00209014,200.9,42.08333,-83.58333,19700423,0.00,-9999,68,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19700424,0.31,-9999,67,45
GHCND:USC00209014,200.9,42.08333,-83.58333,19700425,0.00,-9999,73,41
GHCND:USC00209014,200.9,42.08333,-83.58333,19700426,0.00,-9999,75,39
GHCND:USC00209014,200.9,42.08333,-83.58333,19700427,0.00,-9999,79,43
GHCND:USC00209014,200.9,42.08333,-83.58333,19700428,0.06,-9999,76,53
GHCND:USC00209014,200.9,42.08333,-83.58333,19700429,0.00,-9999,79,61
GHCND:USC00209014,200.9,42.08333,-83.58333,19700430,0.00,-9999,84,60
GHCND:USC00209014,200.9,42.08333,-83.58333,19700501,0.03,-9999,80,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19700502,0.00,-9999,54,40
GHCND:USC00209014,200.9,42.08333,-83.58333,19700503,0.00,-9999,62,30
GHCND:USC00209014,200.9,42.08333,-83.58333,19700504,0.00,-9999,72,44
GHCND:USC00209014,200.9,42.08333,-83.58333,19700505,0.00,-9999,66,33
GHCND:USC00209014,200.9,42.08333,-83.58333,19700506,0.00,-9999,53,31
GHCND:USC00209014,200.9,42.08333,-83.58333,19700507,0.00,-9999,66,27
GHCND:USC00209014,200.9,42.08333,-83.58333,19700508,0.00,-9999,82,52
GHCND:USC00209014,200.9,42.08333,-83.58333,19700509,0.00,-9999,80,62
GHCND:USC00209014,200.9,42.08333,-83.58333,19700510,0.00,-9999,76,58
GHCND:USC00209014,200.9,42.08333,-83.58333,19700511,0.00,-9999,75,52
GHCND:USC00209014,200.9,42.08333,-83.58333,19700512,0.62,-9999,67,51
GHCND:USC00209014,200.9,42.08333,-83.58333,19700513,0.37,-9999,67,45
GHCND:USC00209014,200.9,42.08333,-83.58333,19700514,0.05,-9999,59,45
GHCND:USC00209014,200.9,42.08333,-83.58333,19700515,0.36,-9999,80,51
GHCND:USC00209014,200.9,42.08333,-83.58333,19700516,0.22,-9999,60,49
GHCND:USC00209014,200.9,42.08333,-83.58333,19700517,0.02,-9999,61,45
